Country,ISO,Total_Disasters,Total_Deaths,Total_Affected,Total_Damage_USD
Norway,NOR,31,863.0,7902.0,1265248.0
Oman,OMN,21,413.0,33317.0,7589059.0
Pakistan,PAK,503,189562.0,132299389.0,65020708.0
Palau,PLW,6,1.0,34866.0,0.0
Panama,PAN,80,734.0,498157.0,721291.0
Papua New Guinea,PNG,101,10823.0,4836280.0,673717.0
Paraguay,PRY,64,836.0,4371777.0,378425.0
People's Democratic Republic of Yemen,YMD,8,510.0,705500.0,3267610.0
Peru,PER,396,102878.0,24741927.0,18075396.0
Philippines,PHL,935,84955.0,268633800.0,53514099.0
Poland,POL,92,4892.0,383944.0,14513255.0
Portugal,PRT,75,8558.0,217891.0,13689291.0
Puerto Rico,PRI,51,1809.0,939634.0,97163371.0
Qatar,QAT,5,72.0,1548.0,12134.0
Republic of Korea,KOR,201,12984.0,7032006.0,34162961.0
Republic of Moldova,MDA,18,104.0,2908252.0,1384991.0
Romania,ROU,129,10723.0,2072095.0,20241121.0
Russian Federation,RUS,416,68337.0,4896697.0,19144151.0
Rwanda,RWA,69,1646.0,6324725.0,87381.0
Réunion,REU,18,284.0,204529.0,570091.0
Saint Barthélemy,BLM,1,4.0,0.0,0.0
Saint Helena,SHN,1,0.0,300.0,0.0
Saint Kitts and Nevis,KNA,11,6.0,14780.0,1356609.0
Saint Lucia,LCA,22,48.0,318927.0,496126.0
Saint Martin (French Part),MAF,1,12.0,110.0,5096601.0
Saint Vincent and the Grenadines,VCT,25,1719.0,109830.0,705599.0
Samoa,WSM,16,534.0,403908.0,1682953.0
Sao Tome and Principe,STP,8,247.0,316301.0,0.0
Saudi Arabia,SAU,81,7528.0,40022.0,3027446.0
Senegal,SEN,95,2538.0,10751072.0,2289645.0
Serbia,SRB,33,1137.0,240164.0,2981041.0
Serbia Montenegro,SCG,26,192.0,135904.0,0.0
Seychelles,SYC,9,8.0,26194.0,63786.0
Sierra Leone,SLE,61,8353.0,353563.0,57675.0
Singapore,SGP,8,40.0,16569.0,13327.0
Sint Maarten (Dutch part),SXM,1,4.0,5040.0,3107683.0
Slovakia,SVK,33,905.0,59942.0,1322386.0
Slovenia,SVN,17,564.0,1571528.0,1084199.0
Solomon Islands,SLB,40,853.0,631031.0,94291.0
Somalia,SOM,129,51224.0,39446736.0,3199691.0
South Africa,ZAF,321,7688.0,34541941.0,16237244.0
South Sudan,SSD,32,840.0,20591671.0,0.0
Soviet Union,SUN,119,3861967.0,26126155.0,62465979.0
Spain,ESP,187,41417.0,6962488.0,93780065.0
Sri Lanka,LKA,156,41083.0,32800084.0,7277173.0
State of Palestine,PSE,12,57.0,130849.0,0.0
Sudan,SDN,196,166770.0,48439557.0,1254942.0
Suriname,SUR,9,214.0,55261.0,22279.0
Sweden,SWE,24,218.0,14184.0,5873923.0
Switzerland,CHE,82,2263.0,30192.0,14531415.0
Syrian Arab Republic,SYR,53,6866.0,17085706.0,9273597.0
Taiwan (Province of China),TWN,186,18854.0,4276413.0,42483643.0
Tajikistan,TJK,81,2470.0,6819603.0,2989324.0
Thailand,THA,272,18241.0,112281820.0,77462511.0
Timor-Leste,TLS,13,93.0,289925.0,28688.0
Togo,TGO,41,1548.0,1245903.0,5640.0
Tokelau,TKL,6,0.0,1858.0,6938.0
Tonga,TON,26,106.0,408842.0,495609.0
Trinidad and Tobago,TTO,17,79.0,303407.0,487152.0
Tunisia,TUN,66,2429.0,670074.0,1788495.0
Turkmenistan,TKM,4,66.0,420.0,210653.0
Turks and Caicos Islands,TCA,10,150.0,2620.0,1329164.0
Tuvalu,TUV,10,24.0,21867.0,0.0
Türkiye,TUR,383,157029.0,26492644.0,90974316.0
Uganda,UGA,191,209972.0,7640734.0,172281.0
Ukraine,UKR,101,3041.0,2924628.0,6703659.0
United Arab Emirates,ARE,15,421.0,390.0,14765.0
United Kingdom of Great Britain and Northern Ireland,GBR,204,18505.0,792450.0,68679476.0
United Republic of Tanzania,TZA,212,14546.0,21464398.0,619385.0
United States Virgin Islands,VIR,8,17.0,20000.0,2441367.0
United States of America,USA,1511,60563.0,116199908.0,2427260058.0
Uruguay,URY,46,194.0,1179665.0,1541890.0
Uzbekistan,UZB,16,272.0,750043.0,88473.0
Vanuatu,VUT,53,254.0,1281241.0,1156340.0
Venezuela (Bolivarian Republic of),VEN,123,33769.0,2753322.0,7767596.0
Viet Nam,VNM,337,29726.0,98815105.0,33386000.0
Wallis and Futuna Islands,WLF,5,6.0,5772.0,0.0
Yemen,YEM,105,4825.0,2235898.0,3200497.0
Yemen Arab Republic,YMN,9,2857.0,2633062.0,6470029.0
Yugoslavia,YUG,36,2384.0,991689.0,21494286.0
Zambia,ZMB,94,3527.0,13359287.0,39627.0
Zimbabwe,ZWE,103,10385.0,27577138.0,1497918.0
